#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
U54                    RF00206   8pj6_A               -          cm        1       81      675      634      -    no    1 0.36   0.0   17.8       6.3 ?   Small nucleolar RNA U54
SNORD20                RF00217   8pj6_A               -          cm       50       75     1821     1797      -    no    2 0.40   0.0   18.0       9.7 ?   Small nucleolar RNA SNORD20
tRNA                 RF00005   8pj6_w               -          cm        1       71        1       72      +    no    1 0.60   0.0   58.0   7.2e-13 !   tRNA
PyrR204              RF02802   7efi_A               -          cm       43       57       19        5      -    5'    2 0.67   0.0    9.9       2.8 ?   Pyrobaculum sRNA 204
SSU_rRNA_eukarya       RF01960   6yan_2               -          cm        1     1831        1     1863      +    no    1 0.55   2.6 1663.5         0 !   Eukaryotic small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   6yan_2               -          cm        1     1311        1     1863      +    no    1 0.55   2.6  777.5  1.4e-238 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   6yan_2               -          cm        1     1478        1     1863      +    no    1 0.55   2.6  560.5  1.8e-164 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_bacteria      RF00177   6yan_2               -          cm        1     1533        1     1863      +    no    1 0.55   2.6  433.8  4.6e-136 !   Bacterial small subunit ribosomal RNA
RefA5                  RF02843   6yan_2               -          cm        1       68      544      481      -    no    1 0.53   0.0   20.2      0.48 ?   Enterococcus sRNA A5
SNORD57                RF00274   6yan_2               -          cm        1       72      143       90      -    no    1 0.46   0.0   19.6      0.73 ?   Small nucleolar RNA SNORD57
SmY                    RF01844   6yan_2               -          cm        1       80      561      478      -    no    1 0.50   0.0   16.2       1.6 ?   SmY spliceosomal RNA
snoU105B               RF01173   6yan_2               -          cm        1       80      835      778      -    no    1 0.53   0.0   17.5         2 ?   Small nucleolar RNA U105B
U54                    RF00206   6yan_2               -          cm        1       81      665      624      -    no    1 0.36   0.0   17.8       6.3 ?   Small nucleolar RNA U54
SNORD20                RF00217   6yan_2               -          cm       50       75     1815     1791      -    no    2 0.40   0.0   18.0       9.7 ?   Small nucleolar RNA SNORD20
tRNA                 RF00005   6yan_1               -          cm        1       71        1       72      +    no    1 0.60   0.0   58.0   7.2e-13 !   tRNA
SSU_rRNA_eukarya       RF01960   6sgc_A1              -          cm        1     1831        1     1869      +    no    1 0.56   5.9 1690.3         0 !   Eukaryotic small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   6sgc_A1              -          cm        1     1311        1     1869      +    no    1 0.56   5.9  791.0  9.1e-243 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   6sgc_A1              -          cm        1     1478        1     1869      +    no    1 0.56   5.9  564.1  1.5e-165 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_bacteria      RF00177   6sgc_A1              -          cm        1     1533        1     1869      +    no    1 0.56   5.9  438.6  1.3e-137 !   Bacterial small subunit ribosomal RNA
RefA5                  RF02843   6sgc_A1              -          cm        1       68      554      491      -    no    1 0.53   0.0   20.2      0.48 ?   Enterococcus sRNA A5
SNORD57                RF00274   6sgc_A1              -          cm        1       72      143       90      -    no    1 0.46   0.0   19.6      0.73 ?   Small nucleolar RNA SNORD57
EBER2                  RF02712   6sgc_A1              -          cm        1      173      343      298      -    no    1 0.74   0.0   15.3       1.4 ?   Epstein-Barr virus EBER2
SmY                    RF01844   6sgc_A1              -          cm        1       80      571      488      -    no    1 0.50   0.0   16.2       1.6 ?   SmY spliceosomal RNA
snoU105B               RF01173   6sgc_A1              -          cm        1       80      839      782      -    no    1 0.53   0.0   17.5         2 ?   Small nucleolar RNA U105B
psbNH                  RF01753   6sgc_A1              -          cm       28       56     1767     1743      -    no    1 0.88   0.1   14.0       4.1 ?   psbNH RNA
U54                    RF00206   6sgc_A1              -          cm        1       81      675      634      -    no    1 0.36   0.0   17.8       6.3 ?   Small nucleolar RNA U54
SNORD20                RF00217   6sgc_A1              -          cm       50       75     1821     1797      -    no    2 0.40   0.0   18.0       9.7 ?   Small nucleolar RNA SNORD20
NsiR1                RF02399   6sgc_i1              -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
LSU_rRNA_eukarya     RF02543   6sgc_54              -          cm        1     3401        3     3603      +    no    1 0.62 164.6 2857.2         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   6sgc_54              -          cm      130     2987        1     3386      +    5'    2 0.62 151.6 1227.2         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   6sgc_54              -          cm      159     2925        1     3386      +    5'    2 0.62 151.6 1007.2         0 !   Bacterial large subunit ribosomal RNA
Gl_U1                RF02491   6sgc_54              -          cm       41       72      488      519      +    no    1 0.84   0.2   17.7      0.66 ?   Giardia U1 spliceosomal RNA
MIAT_exon1           RF01874   6sgc_54              -         hmm       36      134     3483     3379      -     -    6 0.77   1.2   13.7      0.71 ?   Myocardial infarction associated transcript exon 1
snoU6-53             RF00377   6sgc_54              -          cm        1      110     3192     3232      +    no    1 0.44   0.0   16.6       4.4 ?   Small nucleolar RNA U6-53/MBII-28
SECIS_3              RF01989   6sgc_54              -          cm        1       59      899      950      +    no    1 0.63   0.0   16.4         6 ?   Selenocysteine insertion sequence 3
PhotoRC-I            RF01716   6sgc_54              -          cm        4       21     2049     2033      -    no    1 0.76   0.0   13.2       6.5 ?   PhotoRC-I RNA
SNORD38              RF00212   6sgc_54              -          cm        1       70     2379     2438      +    no    1 0.45   0.0   17.5       8.5 ?   Small nucleolar RNA SNORD38
5S_rRNA              RF00001   6sgc_74              -          cm        1      120        1      119      +    no    1 0.61   0.0  114.6     3e-27 !   5S ribosomal RNA
Ocean-VII            RF03092   6sgc_74              -          cm        1       41       55        1      -    no    1 0.58   0.0   11.6      0.34 ?   Ocean-VII RNA
5_8S_rRNA            RF00002   6sgc_84              -          cm        1      154        2      154      +    no    1 0.58   0.0  143.3   5.1e-39 !   5.8S ribosomal RNA
LSU_rRNA_archaea     RF02540   6sgc_84              -          cm       23      171       11      156      +    3'    4 0.58   0.0   28.4   4.6e-07 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   6sgc_84              -          cm       21      168       10      154      +    3'    3 0.59   0.0   15.1    0.0054 !   Bacterial large subunit ribosomal RNA
mir-1990             RF03684   6sgc_84              -          cm        1       75      102      154      +    no    1 0.72   0.0   13.7       1.2 ?   mir-1990 microRNA precursor family
STnc100              RF02076   6sgc_84              -          cm       99      206      156       56      -    5'    2 0.57   0.0    9.4       5.5 ?   Gammaproteobacterial sRNA STnc100
tRNA                 RF00005   6sgc_23              -          cm        1       71        1       73      +    no    1 0.58   0.0   69.2     6e-16 !   tRNA
tRNA-Sec             RF01852   6sgc_23              -          cm        1       91        1       72      +    no    1 0.57   0.0   25.2    0.0014 !   Selenocysteine transfer RNA
tmRNA                RF00023   6sgc_23              -          cm      300      374        4       66      +    5'    2 0.52   0.0    8.0     0.062 ?   transfer-messenger RNA
mascRNA-menRNA       RF01684   6sgc_23              -          cm        1       56       15       72      +    no    1 0.55   0.0   17.6       0.1 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
tRNA                 RF00005   6sgc_33              -          cm        1       71        1       73      +    no    1 0.58   0.0   69.2     6e-16 !   tRNA
tRNA-Sec             RF01852   6sgc_33              -          cm        1       91        1       72      +    no    1 0.57   0.0   25.2    0.0014 !   Selenocysteine transfer RNA
tmRNA                RF00023   6sgc_33              -          cm      300      374        4       66      +    5'    2 0.52   0.0    8.0     0.062 ?   transfer-messenger RNA
mascRNA-menRNA       RF01684   6sgc_33              -          cm        1       56       15       72      +    no    1 0.55   0.0   17.6       0.1 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
MIR5286              RF03915   5kw1_C               -          cm       59       78       30       11      -    5'    2 0.30   0.2   10.2       4.8 ?   MIR5286 microRNA precursor family
PK-BYV               RF01100   5kw1_C               -          cm       27       40       30       17      -    5'    2 0.29   0.1    8.3         7 ?   3'-terminal pseudoknot in BYV
ncr1241              RF02451   5kw1_C               -          cm       39       63        1       27      +    5'    2 0.37   0.0    9.3       8.8 ?   Bacillus sRNA ncr1241
LSU_rRNA_bacteria    RF02541   5npm_B               -          cm     2131     2210        1       80      + 5'&3'    4 0.69   0.0   60.3   2.9e-18 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   5npm_B               -          cm     2208     2287        1       80      + 5'&3'    4 0.69   0.0   45.0   1.2e-12 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   5npm_B               -          cm     2453     2507        1       80      + 5'&3'    4 0.69   0.0   22.4   0.00041 !   Eukaryotic large subunit ribosomal RNA
c-di-GMP-II-GAG      RF03169   5npm_B               -          cm        1       86       11       79      +    no    1 0.70   0.0   18.9     0.084 ?   c-di-GMP-II-GAG riboswitch aptamer
CcsR1                RF02791   5npm_B               -          cm        1       66       68        1      -    3'    3 0.69   0.1   11.8      0.71 ?   Conserved CCUCCUCCC motif stress-induced RNA 1
ilvH                 RF02993   5npm_B               -          cm       21       48       30       55      +    no    1 0.81   0.0   11.2       6.8 ?   ilvH RNA
HCV_5BSL1            RF04218   5npm_B               -          cm        1       47       38       79      +    no    1 0.71   0.0    9.9       8.7 ?   Hepatitis C virus stem-loop I
ceN53                RF01641   5npm_B               -          cm       49       74        1       26      +    5'    2 0.62   0.0   10.9       9.9 ?   Caenorhabditis snoRNA ceN53
CRISPR-DR4           RF01317   8z0l_L               -          cm        1       28       42       69      +    no    1 0.57   0.0   30.9   6.9e-06 !   CRISPR RNA direct repeat element
sul1                 RF03058   8z0l_L               -          cm       27       56       66       41      -    5'    2 0.58   0.0   10.5       4.6 ?   sul1 RNA
tRNA                 RF00005   4as1_B               -          cm        1       71        1       84      +    no    1 0.60   0.0   57.7     1e-12 !   tRNA
tRNA-Sec             RF01852   4as1_B               -          cm        1       91        1       83      +    no    1 0.60   0.0   34.3     7e-06 !   Selenocysteine transfer RNA
tmRNA                RF00023   4as1_B               -          cm      347      363       60       76      +    no    2 0.71   0.0   11.3    0.0028 !   transfer-messenger RNA
mascRNA-menRNA       RF01684   4as1_B               -          cm       34       48       61       75      +    no    1 0.67   0.0   11.8       4.2 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
group-II-D1D4-4      RF02003   4as1_B               -          cm        1       29       58       87      +    3'    3 0.67   0.0    7.6       7.1 ?   Group II catalytic intron D1-D4-4
LSU_rRNA_eukarya     RF02543   7f5s_L5              -          cm        1     3401        3     5069      +    no    1 0.69 554.6 2376.6         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   7f5s_L5              -          cm        1     2987     1267     4755      +    no    1 0.67 285.1  821.2  1.4e-258 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   7f5s_L5              -          cm        1     2925     1464     4799      +    no    3 0.67 268.9  594.3  2.5e-193 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   7f5s_L5              -          cm       30      555        5      420      +    no    1 0.61   7.6  124.3   1.2e-37 !   Bacterial large subunit ribosomal RNA
snoU6-53             RF00377   7f5s_L5              -          cm        1      110     4563     4603      +    no    1 0.44   0.0   16.6       6.2 ?   Small nucleolar RNA U6-53/MBII-28
PhotoRC-I            RF01716   7f5s_L5              -          cm        4       21     2657     2641      -    no    1 0.76   0.0   13.2       9.2 ?   PhotoRC-I RNA
SECIS_3              RF01989   7f5s_L5              -          cm        1       59     1338     1392      +    no    1 0.65   0.0   16.2       9.9 ?   Selenocysteine insertion sequence 3
5S_rRNA              RF00001   7f5s_L7              -          cm        1      120        1      119      +    no    1 0.61   0.0  114.6     3e-27 !   5S ribosomal RNA
Ocean-VII            RF03092   7f5s_L7              -          cm        1       41       55        1      -    no    1 0.58   0.0   11.6      0.34 ?   Ocean-VII RNA
5_8S_rRNA            RF00002   7f5s_L8              -          cm        1      154        2      154      +    no    1 0.58   0.0  143.3   5.1e-39 !   5.8S ribosomal RNA
LSU_rRNA_archaea     RF02540   7f5s_L8              -          cm       23      171       11      156      +    3'    4 0.58   0.0   28.4   4.6e-07 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   7f5s_L8              -          cm       21      168       10      154      +    3'    3 0.59   0.0   15.1    0.0054 !   Bacterial large subunit ribosomal RNA
mir-1990             RF03684   7f5s_L8              -          cm        1       75      102      154      +    no    1 0.72   0.0   13.7       1.2 ?   mir-1990 microRNA precursor family
STnc100              RF02076   7f5s_L8              -          cm       99      206      156       56      -    5'    2 0.57   0.0    9.4       5.5 ?   Gammaproteobacterial sRNA STnc100
LSU_rRNA_bacteria    RF02541   8cvl_1A              -          cm        1     2925        1     2912      +    no    1 0.64 207.8 2711.7         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   8cvl_1A              -          cm        1     2987        1     2912      +    no    1 0.64 207.8 1928.1         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   8cvl_1A              -          cm        1     3401      148     2901      +    no    1 0.64 191.5 1152.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   8cvl_1A              -          cm        1      154       12      158      +    no    1 0.69   1.9   50.6   4.2e-11 !   5.8S ribosomal RNA
RF_site5             RF01093   8cvl_1A              -          cm        1       60     1741     1798      +    no    1 0.69   0.0   22.8      0.64 ?   Ma3 gene ribosomal frameshift signal
CRISPR-DR12          RF01325   8cvl_1A              -          cm        1       30     2702     2730      +    no    1 0.66   0.0   20.0       0.8 ?   CRISPR RNA direct repeat element
Hrs13                RF02631   8cvl_1A              -          cm        1       82     2108     2035      -    no    1 0.58   0.0   16.5      0.99 ?   Hfq-regulated sRNA 13
CRISPR-DR29          RF01340   8cvl_1A              -          cm        1       37      152      116      -    no    1 0.78   0.0   18.1       2.6 ?   CRISPR RNA direct repeat element
Streptomyces-metK    RF03063   8cvl_1A              -          cm        1      117     2650     2547      -    no    1 0.62   0.0   15.2       9.6 ?   Streptomyces-metK RNA
LSU_rRNA_bacteria    RF02541   8cvl_2A              -          cm        1     2925        1     2912      +    no    1 0.64 207.8 2711.7         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   8cvl_2A              -          cm        1     2987        1     2912      +    no    1 0.64 207.8 1928.1         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   8cvl_2A              -          cm        1     3401      148     2901      +    no    1 0.64 191.5 1152.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   8cvl_2A              -          cm        1      154       12      158      +    no    1 0.69   1.9   50.6   4.2e-11 !   5.8S ribosomal RNA
RF_site5             RF01093   8cvl_2A              -          cm        1       60     1741     1798      +    no    1 0.69   0.0   22.8      0.64 ?   Ma3 gene ribosomal frameshift signal
CRISPR-DR12          RF01325   8cvl_2A              -          cm        1       30     2702     2730      +    no    1 0.66   0.0   20.0       0.8 ?   CRISPR RNA direct repeat element
Hrs13                RF02631   8cvl_2A              -          cm        1       82     2108     2035      -    no    1 0.58   0.0   16.5      0.99 ?   Hfq-regulated sRNA 13
CRISPR-DR29          RF01340   8cvl_2A              -          cm        1       37      152      116      -    no    1 0.78   0.0   18.1       2.6 ?   CRISPR RNA direct repeat element
Streptomyces-metK    RF03063   8cvl_2A              -          cm        1      117     2650     2547      -    no    1 0.62   0.0   15.2       9.6 ?   Streptomyces-metK RNA
5S_rRNA              RF00001   8cvl_1B              -          cm        1      120        3      119      +    no    1 0.69   0.3  112.3   1.2e-26 !   5S ribosomal RNA
IRES_c-myc           RF00216   8cvl_1B              -          cm        1       66       56      121      +    3'    3 0.71   0.1    6.5       3.8 ?   c-myc internal ribosome entry site (IRES)
rox1                 RF01667   8cvl_1B              -          cm        1       59       52       34      -    no    1 0.53   0.0   11.8       7.9 ?   Drosophila rox1 ncRNA
5S_rRNA              RF00001   8cvl_2B              -          cm        1      120        3      119      +    no    1 0.69   0.3  112.3   1.2e-26 !   5S ribosomal RNA
IRES_c-myc           RF00216   8cvl_2B              -          cm        1       66       56      121      +    3'    3 0.71   0.1    6.5       3.8 ?   c-myc internal ribosome entry site (IRES)
rox1                 RF01667   8cvl_2B              -          cm        1       59       52       34      -    no    1 0.53   0.0   11.8       7.9 ?   Drosophila rox1 ncRNA
SSU_rRNA_bacteria      RF00177   8cvl_1a              -          cm        1     1533        1     1519      +    no    1 0.64  88.7 1508.1         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   8cvl_1a              -          cm        1     1478        6     1517      +    no    1 0.64  92.4 1032.3         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   8cvl_1a              -          cm        1     1311        6     1514      +    no    1 0.64  92.8  677.7  1.2e-207 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   8cvl_1a              -          cm        1     1831        6     1514      +    no    1 0.64  92.8  638.1  7.7e-192 !   Eukaryotic small subunit ribosomal RNA
BMV3_UPD-PK1           RF01108   8cvl_1a              -          cm        1       26     1451     1476      +    no    1 0.69   0.0   19.5      0.54 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
CC2171                 RF01867   8cvl_1a              -          cm        9      159     1520     1402      -    no    2 0.66   0.0   13.4       4.7 ?   caulobacter sRNA CC2171
PyrR205                RF02803   8cvl_1a              -          cm        1       61      209      158      -    no    1 0.63   0.0   13.9       8.7 ?   Pyrobaculum sRNA 205
SSU_rRNA_bacteria      RF00177   8cvl_2a              -          cm        1     1533        1     1519      +    no    1 0.64  88.7 1508.1         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   8cvl_2a              -          cm        1     1478        6     1517      +    no    1 0.64  92.4 1032.3         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   8cvl_2a              -          cm        1     1311        6     1514      +    no    1 0.64  92.8  677.7  1.2e-207 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   8cvl_2a              -          cm        1     1831        6     1514      +    no    1 0.64  92.8  638.1  7.7e-192 !   Eukaryotic small subunit ribosomal RNA
BMV3_UPD-PK1           RF01108   8cvl_2a              -          cm        1       26     1451     1476      +    no    1 0.69   0.0   19.5      0.54 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
CC2171                 RF01867   8cvl_2a              -          cm        9      159     1520     1402      -    no    2 0.66   0.0   13.4       4.7 ?   caulobacter sRNA CC2171
PyrR205                RF02803   8cvl_2a              -          cm        1       61      209      158      -    no    1 0.63   0.0   13.9       8.7 ?   Pyrobaculum sRNA 205
tRNA                 RF00005   8cvl_1w              -          cm        1       71        1       73      +    no    1 0.59   0.0   68.3   1.1e-15 !   tRNA
tRNA-Sec             RF01852   8cvl_1w              -          cm        1       91        1       72      +    no    1 0.60   0.0   26.5   0.00064 !   Selenocysteine transfer RNA
YrlA                 RF02553   8cvl_1w              -          cm       56      114        1       51      +    5'    2 0.57   0.0   12.5       2.6 ?   Y RNA-like
CRISPR-DR9           RF01322   8cvl_1w              -          cm        1       37       19       38      +    no    1 0.45   0.0   10.7       7.1 ?   CRISPR RNA direct repeat element
beta_tmRNA           RF01850   8cvl_1w              -          cm       85      113       48       76      +    3'    4 0.62   0.0    4.3       7.3 ?   Betaproteobacteria transfer-messenger RNA
tRNA                 RF00005   8cvl_2w              -          cm        1       71        1       73      +    no    1 0.59   0.0   68.3   1.1e-15 !   tRNA
tRNA-Sec             RF01852   8cvl_2w              -          cm        1       91        1       72      +    no    1 0.60   0.0   26.5   0.00064 !   Selenocysteine transfer RNA
YrlA                 RF02553   8cvl_2w              -          cm       56      114        1       51      +    5'    2 0.57   0.0   12.5       2.6 ?   Y RNA-like
CRISPR-DR9           RF01322   8cvl_2w              -          cm        1       37       19       38      +    no    1 0.45   0.0   10.7       7.1 ?   CRISPR RNA direct repeat element
beta_tmRNA           RF01850   8cvl_2w              -          cm       85      113       48       76      +    3'    4 0.62   0.0    4.3       7.3 ?   Betaproteobacteria transfer-messenger RNA
tRNA                 RF00005   8cvl_1x              -          cm        1       71        1       74      +    no    1 0.66   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   8cvl_1x              -          cm        1       91        2       72      +    no    1 0.68   0.0   26.3   0.00073 !   Selenocysteine transfer RNA
tmRNA                RF00023   8cvl_1x              -          cm       22      374        2       77      +    5'    2 0.66   0.0    6.9      0.19 ?   transfer-messenger RNA
beta_tmRNA           RF01850   8cvl_1x              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
YrlA                 RF02553   8cvl_1x              -          cm       56      114        1       60      +    5'    2 0.63   0.0   11.4       5.2 ?   Y RNA-like
Bp1_738              RF02422   8cvl_1x              -          cm       58      136        1       77      + 5'&3'    4 0.66   0.0    8.0       7.4 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
tRNA                 RF00005   8cvl_2x              -          cm        1       71        1       74      +    no    1 0.66   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   8cvl_2x              -          cm        1       91        2       72      +    no    1 0.68   0.0   26.3   0.00073 !   Selenocysteine transfer RNA
tmRNA                RF00023   8cvl_2x              -          cm       22      374        2       77      +    5'    2 0.66   0.0    6.9      0.19 ?   transfer-messenger RNA
beta_tmRNA           RF01850   8cvl_2x              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
YrlA                 RF02553   8cvl_2x              -          cm       56      114        1       60      +    5'    2 0.63   0.0   11.4       5.2 ?   Y RNA-like
Bp1_738              RF02422   8cvl_2x              -          cm       58      136        1       77      + 5'&3'    4 0.66   0.0    8.0       7.4 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
tRNA                 RF00005   8cvl_2y              -          cm        1       71        1       73      +    no    1 0.59   0.0   68.3   1.1e-15 !   tRNA
tRNA-Sec             RF01852   8cvl_2y              -          cm        1       91        1       72      +    no    1 0.60   0.0   26.5   0.00064 !   Selenocysteine transfer RNA
YrlA                 RF02553   8cvl_2y              -          cm       56      114        1       51      +    5'    2 0.57   0.0   12.5       2.6 ?   Y RNA-like
CRISPR-DR9           RF01322   8cvl_2y              -          cm        1       37       19       38      +    no    1 0.45   0.0   10.7       7.1 ?   CRISPR RNA direct repeat element
beta_tmRNA           RF01850   8cvl_2y              -          cm       85      113       48       76      +    3'    4 0.62   0.0    4.3       7.3 ?   Betaproteobacteria transfer-messenger RNA
tRNA                 RF00005   8cvl_1y              -          cm        1       71        1       73      +    no    1 0.59   0.0   68.3   1.1e-15 !   tRNA
tRNA-Sec             RF01852   8cvl_1y              -          cm        1       91        1       72      +    no    1 0.60   0.0   26.5   0.00064 !   Selenocysteine transfer RNA
YrlA                 RF02553   8cvl_1y              -          cm       56      114        1       51      +    5'    2 0.57   0.0   12.5       2.6 ?   Y RNA-like
CRISPR-DR9           RF01322   8cvl_1y              -          cm        1       37       19       38      +    no    1 0.45   0.0   10.7       7.1 ?   CRISPR RNA direct repeat element
beta_tmRNA           RF01850   8cvl_1y              -          cm       85      113       48       76      +    3'    4 0.62   0.0    4.3       7.3 ?   Betaproteobacteria transfer-messenger RNA
flavi_FSE            RF01768   4m2z_D               -          cm       32       48        1       17      +    5'    4 0.47   0.0    7.5       3.5 ?   ribosomal frameshift site
flavi_FSE            RF01768   4m2z_C               -          cm       32       48        1       17      +    5'    4 0.47   0.0    7.5       3.5 ?   ribosomal frameshift site
U5                   RF00020   8q7x_5               -          cm        1      117        1      116      +    no    1 0.41   0.0  113.2   2.4e-22 !   U5 spliceosomal RNA
SmY                  RF01844   8q7x_5               -          cm        1       80       36      117      +    no    1 0.44   0.0   17.7     0.042 ?   SmY spliceosomal RNA
BjrC68               RF02353   4a4r_A               -          cm       51       70       21        2      -    no    4 0.70   0.0   10.2      0.42 ?   Bradyrhizobiaceae sRNA BjrC68
sul1                 RF03058   4a4r_A               -          cm        4       24       22        3      -    3'    4 0.70   0.0    7.7       6.5 ?   sul1 RNA
SSU_rRNA_eukarya       RF01960   6gsn_2               -          cm        1     1831        1     1798      +    no    1 0.45   6.7 1822.9         0 !   Eukaryotic small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   6gsn_2               -          cm        1     1311        1     1798      +    no    1 0.45   6.7  839.1    1e-257 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   6gsn_2               -          cm        1     1478        1     1797      +    no    1 0.45   6.6  637.6  1.5e-187 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_bacteria      RF00177   6gsn_2               -          cm        1     1533        1     1798      +    no    1 0.45   6.7  538.3  1.3e-169 !   Bacterial small subunit ribosomal RNA
snR79                  RF01184   6gsn_2               -         hmm       68       88     1017      997      -     -    6 0.43   0.0   13.6      0.57 ?   Small nucleolar RNA snR79
SNORD57                RF00274   6gsn_2               -          cm        1       72      140       91      -    no    1 0.30   0.0   15.7       8.9 ?   Small nucleolar RNA SNORD57
Histone3               RF00032   6gsn_2               -          cm        1       46     1284     1241      -    no    1 0.50   0.0   13.0       9.6 ?   Histone 3' UTR stem-loop
tRNA                 RF00005   6gsn_1               -          cm        1       71        1       72      +    no    1 0.62   0.0   63.1   2.9e-14 !   tRNA
LSU_rRNA_bacteria    RF02541   5hcr_1A              -          cm        1     2925        1     2912      +    no    1 0.64 207.8 2711.7         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   5hcr_1A              -          cm        1     2987        1     2912      +    no    1 0.64 207.8 1928.1         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   5hcr_1A              -          cm        1     3401      148     2901      +    no    1 0.64 191.5 1152.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   5hcr_1A              -          cm        1      154       12      158      +    no    1 0.69   1.9   50.6   4.2e-11 !   5.8S ribosomal RNA
RF_site5             RF01093   5hcr_1A              -          cm        1       60     1741     1798      +    no    1 0.69   0.0   22.8      0.64 ?   Ma3 gene ribosomal frameshift signal
CRISPR-DR12          RF01325   5hcr_1A              -          cm        1       30     2702     2730      +    no    1 0.66   0.0   20.0       0.8 ?   CRISPR RNA direct repeat element
Hrs13                RF02631   5hcr_1A              -          cm        1       82     2108     2035      -    no    1 0.58   0.0   16.5      0.99 ?   Hfq-regulated sRNA 13
CRISPR-DR29          RF01340   5hcr_1A              -          cm        1       37      152      116      -    no    1 0.78   0.0   18.1       2.6 ?   CRISPR RNA direct repeat element
Streptomyces-metK    RF03063   5hcr_1A              -          cm        1      117     2650     2547      -    no    1 0.62   0.0   15.2       9.6 ?   Streptomyces-metK RNA
LSU_rRNA_bacteria    RF02541   5hcr_2A              -          cm        1     2925        1     2912      +    no    1 0.64 207.8 2711.7         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   5hcr_2A              -          cm        1     2987        1     2912      +    no    1 0.64 207.8 1928.1         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   5hcr_2A              -          cm        1     3401      148     2901      +    no    1 0.64 191.5 1152.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   5hcr_2A              -          cm        1      154       12      158      +    no    1 0.69   1.9   50.6   4.2e-11 !   5.8S ribosomal RNA
